ID	chr	start	end	strand	AA_length	method	N_cnt	MetID	Met_AA_length	HMM_profile	Viral_BLAST	NR_BLAST	EVE_BLAST	RetroTector	Repbase
Mmus38.chr1.8685822.8686142.-	chr1	8685822	8686142	-	107	7	0	Mmus38.chr1.8685822.8686106.-.M	95	gag,Gag_p30|GAG,GAG_gammaretroviridae	YP_001497148.1(gag-pol precursor polyprotein [RD114 retrovirus])	XP_008591305.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Gag|c|HERV-H_gag_rekonstr	MERV1_I-int|LTR/ERV1
Mmus38.chr1.30083771.30084331.-	chr1	30083771	30084331	-	187	7	0	Mmus38.chr1.30083771.30084268.-.M	166	env,TLV_coat|ENV,ENV_deltaretroviridae|ENV,ENV_D-type_betaretroviridae|ENV,ENV_gammaretroviridae|ENV,ENV_retroviridae	NP_056791.2(Env protein [Gibbon ape leukemia virus])	AGP25481.1(envelope glycoprotein [Mus caroli])	AAA37564.1(envelope glycoprotein [Mus musculus])	Env|c|GaLV_env	MURVY-int|LTR/ERV1
Mmus38.chr1.165210231.165211145.-	chr1	165210231	165211145	-	305	7	0	Mmus38.chr1.165210231.165211112.-.M	294	gag,Gag_p24|GAG,GAG_betaretroviridae	NP_056891.1(RT-IN [Mason-Pfizer monkey virus])|NP_862831.2(gag protein [Enzootic nasal tumour virus of goats])|NP_954565.2(RT-IN [Mason-Pfizer monkey virus])	XP_008767656.1(PREDICTED: igE-binding protein-like [Rattus norvegicus])	-	Gag|c|HERV-H_gag_rekonstr Gag|d|BLV_Gag_BLVCG Gag|b|IAPm	IAPLTR4_I|LTR/ERVK IAPEY3-int|LTR/ERVK IAPEY3_LTR|LTR/ERVK
Mmus38.chr10.61538536.61539195.-	chr10	61538536	61539195	-	220	6	0	Mmus38.chr10.61538536.61538880.-.M	115	pol,rve|INT,INT_betaretroviridae	NP_056880.1(Pr160 [Mouse mammary tumor virus])|NP_955564.1(p30DU-p13PR-RT-IN [Mouse mammary tumor virus])	ERE71793.1(Pol polyprotein [Cricetulus griseus])	-	.	MurERV4_19-int|LTR/ERVK
Mmus38.chr10.113501126.113501788.-	chr10	113501126	113501788	-	221	7	0	Mmus38.chr10.113501126.113501494.-.M	123	pol,Integrase_Zn|pol,rve|INT,INT_alpharetroviridae|INT,INT_betaretroviridae|INT,INT_deltaretroviridae|INT,INT_gammaretroviridae|INT,INT_lentiviridae	YP_003864102.1(pol protein, partial [Simian retrovirus 4])	-	-	Pol|b|IAPm	MMERVK10D3_I-int|LTR/ERVK
Mmus38.chr14.27565988.27567805.+	chr14	27565988	27567805	+	606	7	0	Mmus38.chr14.27566024.27567805.+.M	594	pol,Integrase_Zn|pol,RNase_H|pol,rve|pol,RVT_thumb|INT,INT_alpharetroviridae|INT,INT_betaretroviridae|INT,INT_deltaretroviridae|INT,INT_epsilonretroviridae|INT,INT_gammaretroviridae|INT,INT_lentiviridae|INT,INT_spumaretroviridae|RNaseH,RNaseH_betaretroviridae|RT,RT_betaretroviridae|RT,RT_deltaretroviridae	YP_003864102.1(pol protein, partial [Simian retrovirus 4])	ABD97982.1(putative gag-pol protein [Mus musculus])	-	Pol|b|IAPm	IAPLTR3-int|LTR/ERVK
Mmus38.chr15.44888971.44889312.-	chr15	44888971	44889312	-	114	7	0	Mmus38.chr15.44888971.44889045.-.M	25	INT,INT_betaretroviridae|INT,INT_gammaretroviridae	NP_056891.1(RT-IN [Mason-Pfizer monkey virus])|NP_954565.2(RT-IN [Mason-Pfizer monkey virus])	XP_010617448.1(PREDICTED: LOW QUALITY PROTEIN: endogenous retrovirus group K)	-	Pol|b|HML6.17	RMER16-int|LTR/ERVK
Mmus38.chr16.4823678.4824553.+	chr16	4823678	4824553	+	292	7	0	Mmus38.chr16.4823771.4824553.+.M	261	pol,RVT_1|RT,RT_17_6|RT,RT_alpharetroviridae|RT,RT_badnavirus|RT,RT_cer2_3|RT,RT_deltaretroviridae|RT,RT_epsilonretroviridae|RT,RT_gammaretroviridae|RT,RT_gmr1|RT,RT_micropia_mdg3|RT,RT_spumaretroviridae	YP_002000606.1(Hypothetical mature RT protein [Gibbon ape leukemia virus])	CCD12124.1(unnamed protein product [Trypanosoma congolense IL3000])	ADE59015.1(retrotransposon-like 1 [Ovis aries])|NP_001127830.4(retrotransposon-like protein 1 [Sus scrofa])	Pol|c|GaLV_U26927	MMERGLN-int|LTR/ERV1
Mmus38.chr16.21088041.21088802.+	chr16	21088041	21088802	+	254	6	0	Mmus38.chr16.21088371.21088802.+.M	144	pol,Integrase_Zn|pol,rve|INT,INT_alpharetroviridae|INT,INT_betaretroviridae|INT,INT_deltaretroviridae|INT,INT_gammaretroviridae|INT,INT_lentiviridae	NP_056891.1(RT-IN [Mason-Pfizer monkey virus])|NP_954565.2(RT-IN [Mason-Pfizer monkey virus])|YP_003864102.1(pol protein, partial [Simian retrovirus 4])	-	-	.	MMERVK10D3_I-int|LTR/ERVK L1Md_F2|LINE/L1
Mmus38.chr16.66473458.66474174.-	chr16	66473458	66474174	-	239	7	0	Mmus38.chr16.66473458.66474060.-.M	201	gag,Gag_p24|GAG,GAG_betaretroviridae	YP_003864100.1(gag protein [Simian retrovirus 4])	XP_008767656.1(PREDICTED: igE-binding protein-like [Rattus norvegicus])	-	Gag|b|IAPm	IAPEY3-int|LTR/ERVK
Mmus38.chr19.39367813.39368355.+	chr19	39367813	39368355	+	181	7	0	Mmus38.chr19.39367900.39368355.+.M	152	gag,Gag_p24|GAG,GAG_betaretroviridae	NP_056891.1(RT-IN [Mason-Pfizer monkey virus])|NP_954565.2(RT-IN [Mason-Pfizer monkey virus])	XP_008767656.1(PREDICTED: igE-binding protein-like [Rattus norvegicus])	-	Gag|b|IAPm	IAPEY3-int|LTR/ERVK
Mmus38.chr2.24037018.24037770.+	chr2	24037018	24037770	+	251	7	0	Mmus38.chr2.24037066.24037770.+.M	235	RT,RT_gammaretroviridae	NP_056790.1(Pol polyprotein, partial [Gibbon ape leukemia virus])|YP_002000606.1(Hypothetical mature RT protein [Gibbon ape leukemia virus])	AAH19591.1(LOC624295 protein, partial [Mus musculus])	NP_001128360.1(retrotransposon-like protein 1 [Homo sapiens])	Pol|c|GaLV_U26927	MuRRS-int|LTR/ERV1
Mmus38.chr2.24037721.24037969.+	chr2	24037721	24037969	+	83	7	0	Mmus38.chr2.24037802.24037969.+.M	56	INT,INT_epsilonretroviridae|INT,INT_gammaretroviridae	YP_001497148.1(gag-pol precursor polyprotein [RD114 retrovirus])	-	-	Pol|c|GaLV_U26927	MuRRS-int|LTR/ERV1
Mmus38.chr3.94228477.94229142.-	chr3	94228477	94229142	-	222	7	0	-	0	pol,RNase_H|RNaseH,RNaseH_betaretroviridae	NP_041261.1(pol protein [Squirrel monkey retrovirus])	P04026.1(RecName: Full=Putative Pol polyprotein; Contains: RecName:)	-	Pol|b|IAPm	IAPEY4_I-int|LTR/ERVK
Mmus38.chr3.94229315.94229989.-	chr3	94229315	94229989	-	225	7	0	Mmus38.chr3.94229315.94229821.-.M	169	pol,RVT_1|pol,RVT_thumb|RT,RT_alpharetroviridae|RT,RT_betaretroviridae|RT,RT_deltaretroviridae|RT,RT_gammaretroviridae|RT,RT_lentiviridae	YP_241114.1(gap-pro-pol fusion, partial [Ovine enzootic nasal tumor virus])	BAC79172.1(pol [Mus musculus])	-	Pol|b|IAPm	IAPEY4_I-int|LTR/ERVK
