ID	chr	start	end	strand	AA_length	method	N_cnt	MetID	Met_AA_length	HMM_profile	Viral_BLAST	NR_BLAST	EVE_BLAST	RetroTector	Repbase
Mmus38.chr14.27560374.27560637.-	chr14	27560374	27560637	-	88	7	0	Mmus38.chr14.27560374.27560628.-.M	85	RNaseH,RNaseH_gammaretroviridae	YP_001497148.1(gag-pol precursor polyprotein [RD114 retrovirus])	-	-	Pol|c|MuLV_pol_U92	MMVL30-int|LTR/ERV1
Mmus38.chr16.35981793.35982074.+	chr16	35981793	35982074	+	94	6	0	Mmus38.chr16.35982021.35982074.+.M	18	env,TLV_coat|ENV,ENV_D-type_betaretroviridae|ENV,ENV_gammaretroviridae|ENV,ENV_retroviridae	NP_955589.1(p15E [Moloney murine leukemia virus])	XP_004662517.1(PREDICTED: envelope glycoprotein-like [Jaculus jaculus])	AAA37564.1(envelope glycoprotein [Mus musculus])	.	LSU-rRNA_Hsa|rRNA RLTR6-int|LTR/ERV1
Mmus38.chr17.37319219.37319602.+	chr17	37319219	37319602	+	128	4	0	Mmus38.chr17.37319252.37319602.+.M	117	AP,AP_betaretroviridae	NP_041260.2(protease, partial [Squirrel monkey retrovirus])	XP_008771984.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	.	ERVB5_1-I_MM|LTR/ERVK
Mmus38.chr17.84972377.84972859.-	chr17	84972377	84972859	-	161	5	0	-	0	env,TLV_coat|ENV,ENV_D-type_betaretroviridae|ENV,ENV_gammaretroviridae|ENV,ENV_retroviridae	YP_003864103.1(envelope protein [Simian retrovirus 4])	-	AAD14546.2(envelope protein precursor [Homo sapiens])	Pol|b|HML6.17	ERVB4_2-I_MM|LTR/ERVK
Mmus38.chr17.93067730.93067999.-	chr17	93067730	93067999	-	90	6	0	Mmus38.chr17.93067730.93067894.-.M	55	pro,G-patch|AP,AP_betaretroviridae	NP_041260.2(protease, partial [Squirrel monkey retrovirus])	XP_007477003.1(PREDICTED: uncharacterized protein LOC103093017 [Monodelphis)	-	.	ERVB4_3-I_MM|LTR/ERVK
Mmus38.chr17.93067971.93068558.-	chr17	93067971	93068558	-	196	6	0	Mmus38.chr17.93067971.93068435.-.M	155	GAG,GAG_betaretroviridae	NP_862831.2(gag protein [Enzootic nasal tumour virus of goats])	AIX10022.1(Gag [Monodelphis domestica])	-	.	ERVB4_3-I_MM|LTR/ERVK
Mmus38.chr2.155018423.155020741.+	chr2	155018423	155020741	+	773	7	0	Mmus38.chr2.155018552.155020741.+.M	730	gag,Gag_p24|gag,zf-CCHC_5|GAG,GAG_betaretroviridae|GAG,GAG_lentiviridae	NP_056893.1(Pr78 [Mason-Pfizer monkey virus])	AAF36393.1(gag polyprotein [Trichosurus vulpecula])	-	Gag|b|HERV-K10 Pro|b|MPMV	ERVB4_1-I_MM|LTR/ERVK
Mmus38.chr3.5860754.5862853.+	chr3	5860754	5862853	+	700	6	0	Mmus38.chr3.5860868.5862853.+.M	662	pol,RVT_1	YP_073558.1(RNA-dependent DNA polymerase [Lymphocystis disease virus - isolate China])	AAA39398.2(ORF2 [Mus musculus domesticus])	-	.	LSU-rRNA_Hsa|rRNA L1_Mm|LINE/L1 L1Md_A|LINE/L1
Mmus38.chr5.24674057.24674359.+	chr5	24674057	24674359	+	101	7	0	Mmus38.chr5.24674339.24674359.+.M	7	RT,RT_gammaretroviridae	YP_008169843.1(gag-pol polyprotein [Koala retrovirus])	XP_007944058.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Pol|c|MuLV_pol_U92	MMERGLN-int|LTR/ERV1
Mmus38.chr5.24674221.24674496.+	chr5	24674221	24674496	+	92	7	0	Mmus38.chr5.24674488.24674496.+.M	3	pol,RVT_1|RT,RT_deltaretroviridae|RT,RT_epsilonretroviridae|RT,RT_gammaretroviridae	NP_955591.1(p80 RT [Moloney murine leukemia virus])|YP_001497148.1(gag-pol precursor polyprotein [RD114 retrovirus])	ELK35486.1(hypothetical protein MDA_GLEAN10002615 [Myotis davidii])	-	Pol|c|MuLV_pol_U92	MMERGLN-int|LTR/ERV1
Mmus38.chr5.24674500.24674763.+	chr5	24674500	24674763	+	88	7	0	Mmus38.chr5.24674746.24674763.+.M	6	RT,RT_epsilonretroviridae|RT,RT_gammaretroviridae	NP_040333.1(Pol polyprotein, partial [Friend murine leukemia virus])|NP_044738.1(Pol, partial [Rauscher murine leukemia virus])|NP_057933.2(Pr180 [Moloney murine leukemia virus])|NP_955591.1(p80 RT [Moloney murine leukemia virus])|YP_001994914.1(hypothetical mature RT protein [Friend murine leukemia virus])	XP_008834887.1(PREDICTED: uncharacterized protein LOC103736987 [Nannospalax)	-	Pol|c|MuLV_pol_U92	MMERGLN-int|LTR/ERV1
