ID	chr	start	end	strand	AA_length	method	N_cnt	MetID	Met_AA_length	HMM_profile	Viral_BLAST	NR_BLAST	EVE_BLAST	RetroTector	Repbase
Mmus38.chr10.113501126.113501788.-	chr10	113501126	113501788	-	221	7	0	Mmus38.chr10.113501126.113501494.-.M	123	pol,Integrase_Zn|pol,rve|INT,INT_alpharetroviridae|INT,INT_betaretroviridae|INT,INT_deltaretroviridae|INT,INT_gammaretroviridae|INT,INT_lentiviridae	YP_003864102.1(pol protein, partial [Simian retrovirus 4])	-	-	Pol|b|IAPm	MMERVK10D3_I-int|LTR/ERVK
Mmus38.chr14.18226204.18226467.+	chr14	18226204	18226467	+	88	7	0	Mmus38.chr14.18226360.18226467.+.M	36	gag,Gag_p30|GAG,GAG_gammaretroviridae	YP_002000602.1(hypothetical mature p30(CA) protein [Gibbon ape leukemia virus])	AAH21868.1(LOC72520 protein, partial [Mus musculus])	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
Mmus38.chr14.18226379.18226675.+	chr14	18226379	18226675	+	99	7	0	Mmus38.chr14.18226385.18226675.+.M	97	gag,Gag_p30|GAG,GAG_gammaretroviridae	YP_008169843.1(gag-pol polyprotein [Koala retrovirus])	-	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
Mmus38.chr15.82535550.82535930.-	chr15	82535550	82535930	-	127	6	0	Mmus38.chr15.82535550.82535816.-.M	89	GAG,GAG_betaretroviridae	NP_056881.1(Pr110 [Mouse mammary tumor virus])	AAH05685.1(BC005685 protein, partial [Mus musculus])	-	.	ERVB2_1A-I_MM|LTR/ERVK
Mmus38.chr15.82536079.82536444.-	chr15	82536079	82536444	-	122	6	0	Mmus38.chr15.82536079.82536369.-.M	97	GAG,GAG_betaretroviridae	NP_056881.1(Pr110 [Mouse mammary tumor virus])|NP_955569.1(p27 CA [Mouse mammary tumor virus])	-	-	.	ERVB2_1A-I_MM|LTR/ERVK RLTRETN_Mm|LTR/ERVK L1_Mus1|LINE/L1
Mmus38.chr15.97617721.97618218.-	chr15	97617721	97618218	-	166	5	0	Mmus38.chr15.97617721.97618080.-.M	120	RT,RT_gammaretroviridae	YP_002000606.1(Hypothetical mature RT protein [Gibbon ape leukemia virus])|YP_008169843.1(gag-pol polyprotein [Koala retrovirus])	XP_008590080.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Pol|c|MuLV_pol_U92	MERV1_I-int|LTR/ERV1
Mmus38.chr16.21027807.21028328.+	chr16	21027807	21028328	+	174	7	0	Mmus38.chr16.21028038.21028328.+.M	97	pol,rve|INT,INT_athila|INT,INT_b_clade|INT,INT_csrn1|INT,INT_deltaretroviridae|INT,INT_epsilonretroviridae|INT,INT_gammaretroviridae|INT,INT_gmr1|INT,INT_lentiviridae|INT,INT_osvaldo|INT,INT_spumaretroviridae	NP_047255.1(Gag-Pro-Pol precursor polyprotein gPr80 [Feline leukemia virus])|NP_955577.1(pol gene polyprotein [Feline leukemia virus])	-	-	Pol|c|GaLV_U26927	MuRRS4-int|LTR/ERV1
Mmus38.chr16.55955618.55956697.+	chr16	55955618	55956697	+	360	7	0	Mmus38.chr16.55955780.55956697.+.M	306	gag,Gag_p30|GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	AAH44668.2(LOC72520 protein, partial [Mus musculus])	-	Gag|c|GaLV_Gag_M26927	MMERGLN-int|LTR/ERV1
Mmus38.chr16.55956555.55957394.+	chr16	55956555	55957394	+	280	7	0	Mmus38.chr16.55956579.55957394.+.M	272	gag,Gag_p30|GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	XP_008756339.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Gag|c|GaLV_Gag_M26927	MMERGLN-int|LTR/ERV1
Mmus38.chr17.26906740.26907591.+	chr17	26906740	26907591	+	284	7	0	Mmus38.chr17.26906821.26907591.+.M	257	GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	AAH44668.2(LOC72520 protein, partial [Mus musculus])	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
Mmus38.chr17.26907411.26907767.+	chr17	26907411	26907767	+	119	7	0	Mmus38.chr17.26907594.26907767.+.M	58	gag,Gag_p30|GAG,GAG_gammaretroviridae	YP_002000602.1(hypothetical mature p30(CA) protein [Gibbon ape leukemia virus])	AAH21868.1(LOC72520 protein, partial [Mus musculus])	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
Mmus38.chr17.87659177.87659641.-	chr17	87659177	87659641	-	155	6	0	Mmus38.chr17.87659177.87659452.-.M	92	env,TLV_coat|ENV,ENV_D-type_betaretroviridae|ENV,ENV_gammaretroviridae|ENV,ENV_retroviridae	NP_056791.2(Env protein [Gibbon ape leukemia virus])	-	AAA37564.1(envelope glycoprotein [Mus musculus])	.	RLTR6-int|LTR/ERV1
Mmus38.chr2.27496050.27496505.+	chr2	27496050	27496505	+	152	7	0	Mmus38.chr2.27496254.27496505.+.M	84	GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	XP_007610416.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Gag|c|GaLV_Gag_M26927	MURVY-int|LTR/ERV1
Mmus38.chr2.27496603.27496950.+	chr2	27496603	27496950	+	116	7	0	Mmus38.chr2.27496666.27496950.+.M	95	GAG,GAG_gammaretroviridae	YP_008169843.1(gag-pol polyprotein [Koala retrovirus])	AGP25479.1(gag protein [Mus caroli])	-	Gag|c|GaLV_Gag_M26927	MURVY-int|LTR/ERV1
Mmus38.chr2.47531286.47531906.+	chr2	47531286	47531906	+	207	7	0	Mmus38.chr2.47531385.47531906.+.M	174	GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	AAH44668.2(LOC72520 protein, partial [Mus musculus])	-	Gag|c|PERV_MSL_AF038600	MMERGLN-int|LTR/ERV1
Mmus38.chr2.47531576.47532724.+	chr2	47531576	47532724	+	383	7	0	Mmus38.chr2.47531909.47532724.+.M	272	gag,Gag_p30|GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	AAH21868.1(LOC72520 protein, partial [Mus musculus])	-	Gag|c|PERV_MSL_AF038600	MMERGLN-int|LTR/ERV1
Mmus38.chr3.3339866.3340534.+	chr3	3339866	3340534	+	223	7	0	Mmus38.chr3.3339908.3340534.+.M	209	GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	AAH44668.2(LOC72520 protein, partial [Mus musculus])	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
Mmus38.chr3.3340497.3340811.+	chr3	3340497	3340811	+	105	7	0	Mmus38.chr3.3340680.3340811.+.M	44	gag,Gag_p30|GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])|YP_002000602.1(hypothetical mature p30(CA) protein [Gibbon ape leukemia virus])|YP_003580190.1(hypothetical mature p30(CA) protein [Woolly monkey sarcoma virus])|YP_008169843.1(gag-pol polyprotein [Koala retrovirus])	AAH21868.1(LOC72520 protein, partial [Mus musculus])	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
Mmus38.chr3.3340709.3341263.+	chr3	3340709	3341263	+	185	7	0	Mmus38.chr3.3341006.3341263.+.M	86	gag,Gag_p30|GAG,GAG_gammaretroviridae	YP_002000602.1(hypothetical mature p30(CA) protein [Gibbon ape leukemia virus])	AAH21868.1(LOC72520 protein, partial [Mus musculus])	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
Mmus38.chr3.64039089.64040117.-	chr3	64039089	64040117	-	343	7	0	Mmus38.chr3.64039089.64040081.-.M	331	gag,Gag_p24|GAG,GAG_betaretroviridae	NP_056893.1(Pr78 [Mason-Pfizer monkey virus])|YP_003864100.1(gag protein [Simian retrovirus 4])	AAF36393.1(gag polyprotein [Trichosurus vulpecula])	-	Pro|b|HML-6p Gag|b|MPMV	ERVB4_1-I_MM|LTR/ERVK (T)n|Simple_repeat
Mmus38.chr4.4457585.4458001.-	chr4	4457585	4458001	-	139	7	0	Mmus38.chr4.4457585.4457962.-.M	126	AP,AP_betaretroviridae	NP_041260.2(protease, partial [Squirrel monkey retrovirus])	AAF36394.1(protease, partial [Trichosurus vulpecula])	-	Pro|b|HERV-K10	ERVB4_1-I_MM|LTR/ERVK
Mmus38.chr4.5179008.5179478.-	chr4	5179008	5179478	-	157	7	0	Mmus38.chr4.5179008.5179373.-.M	122	gag,zf-CCHC_5|GAG,GAG_betaretroviridae	NP_056893.1(Pr78 [Mason-Pfizer monkey virus])	DAA01916.1(TPA_exp: gag protein [Mus musculus])	-	Pro|b|MPMV Gag|b|MPMV	MMERVK9E_I-int|LTR/ERVK
Mmus38.chr4.5179659.5180240.-	chr4	5179659	5180240	-	194	7	0	Mmus38.chr4.5179659.5180165.-.M	169	gag,Gag_p24|GAG,GAG_betaretroviridae	NP_056892.1(Pr95 [Mason-Pfizer monkey virus])|NP_056893.1(Pr78 [Mason-Pfizer monkey virus])	-	-	Gag|b|MPMV	MMERVK9E_I-int|LTR/ERVK
Mmus38.chr6.3338919.3339254.-	chr6	3338919	3339254	-	112	7	0	Mmus38.chr6.3338919.3339113.-.M	65	pro,dUTPase|DUT,DUT_betaretroviridae	NP_041185.1(neutral protease large subunit [Jaagsiekte sheep retrovirus])	XP_008771984.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Pro|b|IAPm Gag|b|IAPm	IAPEY4_I-int|LTR/ERVK
Mmus38.chr6.133183914.133184564.-	chr6	133183914	133184564	-	217	6	0	Mmus38.chr6.133183914.133184438.-.M	175	env,TLV_coat	NP_040334.1(envelope protein [Friend murine leukemia virus])	BAE34198.1(unnamed protein product [Mus musculus])	BAN83910.1(restriction factor for feline retrovirus X [Felis catus])|BAN83912.1(restriction factor for feline retrovirus X [Felis catus])	Pol|b|MPMV	ERVB4_1-I_MM|LTR/ERVK
Mmus38.chr6.133184407.133184892.-	chr6	133184407	133184892	-	162	7	0	Mmus38.chr6.133184407.133184691.-.M	95	pol,IN_DBD_C|INT,INT_betaretroviridae	NP_041261.1(pol protein [Squirrel monkey retrovirus])	AAG28160.1(pol protein, partial [Trichosurus vulpecula])	-	Pol|b|MPMV	ERVB4_1-I_MM|LTR/ERVK
Mmus38.chr7.13170042.13170500.+	chr7	13170042	13170500	+	153	7	0	Mmus38.chr7.13170240.13170500.+.M	87	gag,Gag_p30|GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])|YP_008169843.1(gag-pol polyprotein [Koala retrovirus])	AAH21868.1(LOC72520 protein, partial [Mus musculus])	-	Gag|c|GaLV_Gag_M26927	MMERGLN-int|LTR/ERV1
Mmus38.chr7.28218657.28219583.+	chr7	28218657	28219583	+	309	7	0	Mmus38.chr7.28218813.28219583.+.M	257	GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	AAH44668.2(LOC72520 protein, partial [Mus musculus])	-	Gag|c|PERV_MSL_AF038600	MMERGLN-int|LTR/ERV1
