ID	chr	start	end	strand	AA_length	method	N_cnt	MetID	Met_AA_length	HMM_profile	Viral_BLAST	NR_BLAST	EVE_BLAST	RetroTector	Repbase
Mmus38.chr1.165210231.165211145.-	chr1	165210231	165211145	-	305	7	0	Mmus38.chr1.165210231.165211112.-.M	294	gag,Gag_p24|GAG,GAG_betaretroviridae	NP_056891.1(RT-IN [Mason-Pfizer monkey virus])|NP_862831.2(gag protein [Enzootic nasal tumour virus of goats])|NP_954565.2(RT-IN [Mason-Pfizer monkey virus])	XP_008767656.1(PREDICTED: igE-binding protein-like [Rattus norvegicus])	-	Gag|c|HERV-H_gag_rekonstr Gag|d|BLV_Gag_BLVCG Gag|b|IAPm	IAPLTR4_I|LTR/ERVK IAPEY3-int|LTR/ERVK IAPEY3_LTR|LTR/ERVK
Mmus38.chr10.79506445.79506813.-	chr10	79506445	79506813	-	123	7	0	Mmus38.chr10.79506445.79506726.-.M	94	GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	-	-	Gag|c|FeLV_Gag_M18247	MuLV-int|LTR/ERV1
Mmus38.chr11.83045848.83046105.+	chr11	83045848	83046105	+	86	6	0	Mmus38.chr11.83045914.83046105.+.M	64	INT,INT_betaretroviridae	NP_056880.1(Pr160 [Mouse mammary tumor virus])	-	-	.	RNERVK23-int|LTR/ERVK
Mmus38.chr13.9834409.9834972.-	chr13	9834409	9834972	-	188	6	0	Mmus38.chr13.9834409.9834942.-.M	178	pol,RVT_1	YP_073558.1(RNA-dependent DNA polymerase [Lymphocystis disease virus - isolate China])	-	-	.	LSU-rRNA_Hsa|rRNA L1Md_T|LINE/L1
Mmus38.chr15.74935157.74935435.+	chr15	74935157	74935435	+	93	7	0	Mmus38.chr15.74935163.74935435.+.M	91	INT,INT_gammaretroviridae	NP_047255.1(Gag-Pro-Pol precursor polyprotein gPr80 [Feline leukemia virus])|NP_955577.1(pol gene polyprotein [Feline leukemia virus])	-	-	Pol|c|MuLV_pol_U92	MERV1_I-int|LTR/ERV1 RLTR19-int|LTR/ERVK
Mmus38.chr17.28894140.28894826.-	chr17	28894140	28894826	-	229	7	0	Mmus38.chr17.28894140.28894514.-.M	125	GAG,GAG_betaretroviridae	YP_238302.1(gag [Ovine enzootic nasal tumor virus])	-	-	Gag|b|IAPm	MMERVK10C-int|LTR/ERVK
Mmus38.chr2.28494899.28495294.-	chr2	28494899	28495294	-	132	6	0	Mmus38.chr2.28494899.28495009.-.M	37	GAG,GAG_gammaretroviridae	YP_001497148.1(gag-pol precursor polyprotein [RD114 retrovirus])	XP_008593177.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	.	MERV1_I-int|LTR/ERV1
Mmus38.chr2.28495147.28495767.-	chr2	28495147	28495767	-	207	6	0	Mmus38.chr2.28495147.28495491.-.M	115	GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	XP_005666732.1(PREDICTED: uncharacterized protein LOC102157505, partial [Sus)	-	.	MERV1_I-int|LTR/ERV1 A-rich|Low_complexity
Mmus38.chr3.5860754.5862853.+	chr3	5860754	5862853	+	700	6	0	Mmus38.chr3.5860868.5862853.+.M	662	pol,RVT_1	YP_073558.1(RNA-dependent DNA polymerase [Lymphocystis disease virus - isolate China])	AAA39398.2(ORF2 [Mus musculus domesticus])	-	.	LSU-rRNA_Hsa|rRNA L1_Mm|LINE/L1 L1Md_A|LINE/L1
Mmus38.chr3.69922503.69923417.+	chr3	69922503	69923417	+	305	7	0	Mmus38.chr3.69922641.69923417.+.M	259	GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	-	-	Gag|c|FeLV_Gag_M18247 Gag|b|HERV-K10	MMVL30-int|LTR/ERV1
Mmus38.chr3.69923230.69923496.+	chr3	69923230	69923496	+	89	7	0	Mmus38.chr3.69923272.69923496.+.M	75	gag,Gag_p30|GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	-	-	Gag|c|FeLV_Gag_M18247 Gag|b|HERV-K10	MMVL30-int|LTR/ERV1
Mmus38.chr9.25167267.25167566.+	chr9	25167267	25167566	+	100	6	0	Mmus38.chr9.25167408.25167566.+.M	53	pol,RVT_1	YP_073558.1(RNA-dependent DNA polymerase [Lymphocystis disease virus - isolate China])	-	-	.	L1_Mus3|LINE/L1 L1Md_F2|LINE/L1
