"ID", "Description", "GeneRatio", "BgRatio", "pvalue", "p.adjust", "qvalue", "geneID", "Count"
"GO:0098926", "postsynaptic signal transduction", "1/5", "15/23210", 0.00322746956182973, 0.0401606045822976, 0.0144940527815811, "Kpna1", 1
"GO:0099527", "postsynapse to nucleus signaling pathway", "1/5", "15/23210", 0.00322746956182973, 0.0401606045822976, 0.0144940527815811, "Kpna1", 1
"GO:1902414", "protein localization to cell junction", "1/5", "16/23210", 0.00344233753562551, 0.0401606045822976, 0.0144940527815811, "Mpp7", 1
"GO:0070830", "bicellular tight junction assembly", "1/5", "44/23210", 0.00944361365720925, 0.053462825538178, 0.019294854329568, "Mpp7", 1
"GO:0120192", "tight junction assembly", "1/5", "45/23210", 0.00965740895772349, 0.053462825538178, 0.019294854329568, "Mpp7", 1
"GO:0120193", "tight junction organization", "1/5", "50/23210", 0.0107258318016263, 0.053462825538178, 0.019294854329568, "Mpp7", 1
"GO:0043297", "apical junction assembly", "1/5", "54/23210", 0.0115799059731476, 0.053462825538178, 0.019294854329568, "Mpp7", 1
"GO:0090307", "mitotic spindle assembly", "1/5", "57/23210", 0.0122200744087264, 0.053462825538178, 0.019294854329568, "Kifc5b", 1
"GO:0030968", "endoplasmic reticulum unfolded protein response", "1/5", "65/23210", 0.013925568764484, 0.0541549896396601, 0.0195446579150653, "Herpud2", 1
"GO:0034620", "cellular response to unfolded protein", "1/5", "82/23210", 0.0175419227626499, 0.0547753152728152, 0.0197685348353017, "Herpud2", 1
"GO:0051225", "spindle assembly", "1/5", "102/23210", 0.0217828647172349, 0.0547753152728152, 0.0197685348353017, "Kifc5b", 1
"GO:0035967", "cellular response to topologically incorrect protein", "1/5", "103/23210", 0.0219945267250423, 0.0547753152728152, 0.0197685348353017, "Herpud2", 1
"GO:0007052", "mitotic spindle organization", "1/5", "105/23210", 0.0224177408244338, 0.0547753152728152, 0.0197685348353017, "Kifc5b", 1
"GO:0007043", "cell-cell junction assembly", "1/5", "107/23210", 0.0228408084005746, 0.0547753152728152, 0.0197685348353017, "Mpp7", 1
"GO:0006986", "response to unfolded protein", "1/5", "110/23210", 0.0234751351169208, 0.0547753152728152, 0.0197685348353017, "Herpud2", 1
"GO:1902850", "microtubule cytoskeleton organization involved in mitosis", "1/5", "130/23210", 0.0276955664686303, 0.0576635011460783, 0.0208108876316673, "Kifc5b", 1
"GO:0035966", "response to topologically incorrect protein", "1/5", "133/23210", 0.0283273705781828, 0.0576635011460783, 0.0208108876316673, "Herpud2", 1
"GO:0045216", "cell-cell junction organization", "1/5", "145/23210", 0.0308513034962583, 0.0576635011460783, 0.0208108876316673, "Mpp7", 1
"GO:0006606", "protein import into nucleus", "1/5", "151/23210", 0.0321113016358168, 0.0576635011460783, 0.0208108876316673, "Kpna1", 1
"GO:0051170", "import into nucleus", "1/5", "155/23210", 0.0329505720834733, 0.0576635011460783, 0.0208108876316673, "Kpna1", 1
"GO:0007051", "spindle organization", "1/5", "165/23210", 0.0350462013207965, 0.0584103355346608, 0.0210804218470956, "Kifc5b", 1
"GO:0034329", "cell junction assembly", "1/5", "206/23210", 0.0436003323610102, 0.0672971697065742, 0.0242877003452298, "Mpp7", 1
"GO:0017038", "protein import", "1/5", "209/23210", 0.0442238543786059, 0.0672971697065742, 0.0242877003452298, "Kpna1", 1
"GO:0034976", "response to endoplasmic reticulum stress", "1/5", "237/23210", 0.0500277262051657, 0.0685678562918869, 0.0247462940000795, "Herpud2", 1
"GO:0031334", "positive regulation of protein complex assembly", "1/5", "246/23210", 0.0518872563876897, 0.0685678562918869, 0.0247462940000795, "Mpp7", 1
"GO:0034330", "cell junction organization", "1/5", "255/23210", 0.0537438734687621, 0.0685678562918869, 0.0247462940000795, "Mpp7", 1
"GO:0140014", "mitotic nuclear division", "1/5", "257/23210", 0.0541560597804562, 0.0685678562918869, 0.0247462940000795, "Kifc5b", 1
"GO:0034504", "protein localization to nucleus", "1/5", "272/23210", 0.0572428808605879, 0.0685678562918869, 0.0247462940000795, "Kpna1", 1
"GO:0007018", "microtubule-based movement", "1/5", "275/23210", 0.0578592768311689, 0.0685678562918869, 0.0247462940000795, "Kifc5b", 1
"GO:0006913", "nucleocytoplasmic transport", "1/5", "289/23210", 0.0607315298585284, 0.0685678562918869, 0.0247462940000795, "Kpna1", 1
"GO:0051169", "nuclear transport", "1/5", "289/23210", 0.0607315298585284, 0.0685678562918869, 0.0247462940000795, "Kpna1", 1
"GO:0072594", "establishment of protein localization to organelle", "1/5", "374/23210", 0.0780202032934689, 0.0853345973522316, 0.0307974486684746, "Kpna1", 1
"GO:0000280", "nuclear division", "1/5", "409/23210", 0.0850646369566505, 0.0902200694994778, 0.0325606265862777, "Kifc5b", 1
"GO:0043254", "regulation of protein complex assembly", "1/5", "451/23210", 0.0934610502979316, 0.094456502998888, 0.0340895649920799, "Mpp7", 1
"GO:0048285", "organelle fission", "1/5", "456/23210", 0.094456502998888, 0.094456502998888, 0.0340895649920799, "Kifc5b", 1
