"ID", "Description", "GeneRatio", "BgRatio", "pvalue", "p.adjust", "qvalue", "geneID", "Count"
"GO:1902414", "protein localization to cell junction", "1/3", "16/23210", 0.00206673777638133, 0.0175370048942032, 0.00108588265598782, "Mpp7", 1
"GO:0070830", "bicellular tight junction assembly", "1/3", "44/23210", 0.00567667329723121, 0.0175370048942032, 0.00108588265598782, "Mpp7", 1
"GO:0120192", "tight junction assembly", "1/3", "45/23210", 0.00580543829680447, 0.0175370048942032, 0.00108588265598782, "Mpp7", 1
"GO:0035458", "cellular response to interferon-beta", "1/3", "46/23210", 0.00593419217917468, 0.0175370048942032, 0.00108588265598782, "Ifi208", 1
"GO:0120193", "tight junction organization", "1/3", "50/23210", 0.00644909654622849, 0.0175370048942032, 0.00108588265598782, "Mpp7", 1
"GO:0043297", "apical junction assembly", "1/3", "54/23210", 0.00696382307643484, 0.0175370048942032, 0.00108588265598782, "Mpp7", 1
"GO:0035456", "response to interferon-beta", "1/3", "56/23210", 0.00722111966231898, 0.0175370048942032, 0.00108588265598782, "Ifi208", 1
"GO:0007043", "cell-cell junction assembly", "1/3", "107/23210", 0.0137671754322545, 0.0292552477935408, 0.00181147045161243, "Mpp7", 1
"GO:0045216", "cell-cell junction organization", "1/3", "145/23210", 0.0186258763618589, 0.0351822109057334, 0.00217846507156244, "Mpp7", 1
"GO:0002218", "activation of innate immune response", "1/3", "164/23210", 0.0210492312039492, 0.0357836930467136, 0.00221570854778413, "Ifi208", 1
"GO:0034329", "cell junction assembly", "1/3", "206/23210", 0.0263919575924758, 0.0395863546329125, 0.00245116746953019, "Mpp7", 1
"GO:0045089", "positive regulation of innate immune response", "1/3", "232/23210", 0.0296895980788484, 0.0395863546329125, 0.00245116746953019, "Ifi208", 1
"GO:0031334", "positive regulation of protein complex assembly", "1/3", "246/23210", 0.0314621624235379, 0.0395863546329125, 0.00245116746953019, "Mpp7", 1
"GO:0034330", "cell junction organization", "1/3", "255/23210", 0.0326005273447515, 0.0395863546329125, 0.00245116746953019, "Mpp7", 1
"GO:0045088", "regulation of innate immune response", "1/3", "289/23210", 0.0368929669703273, 0.0418120292330376, 0.00258898013826858, "Ifi208", 1
"GO:0031349", "positive regulation of defense response", "1/3", "370/23210", 0.0470678751974255, 0.0500096173972646, 0.00309657073667273, "Ifi208", 1
"GO:0043254", "regulation of protein complex assembly", "1/3", "451/23210", 0.0571708668343273, 0.0571708668343273, 0.00353999175444751, "Mpp7", 1
