"ID", "Description", "GeneRatio", "BgRatio", "pvalue", "p.adjust", "qvalue", "geneID", "Count"
"GO:0090129", "positive regulation of synapse maturation", "1/5", "10/23210", 0.00215257368827571, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0000280", "nuclear division", "2/5", "409/23210", 0.00299055626955761, 0.0526802178276195, 0.0175826144225688, "Camk2b/Kifc5b", 2
"GO:0032222", "regulation of synaptic transmission, cholinergic", "1/5", "15/23210", 0.00322746956182973, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0090128", "regulation of synapse maturation", "1/5", "16/23210", 0.00344233753562551, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0045836", "positive regulation of meiotic nuclear division", "1/5", "17/23210", 0.0036571684536354, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0048285", "organelle fission", "2/5", "456/23210", 0.0037031327499852, 0.0526802178276195, 0.0175826144225688, "Camk2b/Kifc5b", 2
"GO:0061003", "positive regulation of dendritic spine morphogenesis", "1/5", "27/23210", 0.00580344061980376, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0002029", "desensitization of G protein-coupled receptor signaling pathway", "1/5", "28/23210", 0.00601786424042672, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0022401", "negative adaptation of signaling pathway", "1/5", "28/23210", 0.00601786424042672, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0051446", "positive regulation of meiotic cell cycle", "1/5", "28/23210", 0.00601786424042672, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0023058", "adaptation of signaling pathway", "1/5", "30/23210", 0.00644660049157464, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0060074", "synapse maturation", "1/5", "31/23210", 0.00666091313167583, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:2001014", "regulation of skeletal muscle cell differentiation", "1/5", "31/23210", 0.00666091313167583, 0.0526802178276195, 0.0175826144225688, "Nr1d2", 1
"GO:0007271", "synaptic transmission, cholinergic", "1/5", "33/23210", 0.00708942746486851, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0046686", "response to cadmium ion", "1/5", "35/23210", 0.0075177939006269, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0048169", "regulation of long-term neuronal synaptic plasticity", "1/5", "36/23210", 0.00773192166893322, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0040020", "regulation of meiotic nuclear division", "1/5", "37/23210", 0.00794601247723803, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0097009", "energy homeostasis", "1/5", "39/23210", 0.00837408323298239, 0.0526802178276195, 0.0175826144225688, "Nr1d2", 1
"GO:0010518", "positive regulation of phospholipase activity", "1/5", "42/23210", 0.0090159122861968, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0061001", "regulation of dendritic spine morphogenesis", "1/5", "51/23210", 0.0109394056721354, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:2001222", "regulation of neuron migration", "1/5", "52/23210", 0.0111529426543728, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0010517", "regulation of phospholipase activity", "1/5", "53/23210", 0.0113664427531176, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0060193", "positive regulation of lipase activity", "1/5", "54/23210", 0.0115799059731476, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0050775", "positive regulation of dendrite morphogenesis", "1/5", "55/23210", 0.0117933323192406, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0090307", "mitotic spindle assembly", "1/5", "57/23210", 0.0122200744087264, 0.0526802178276195, 0.0175826144225688, "Kifc5b", 1
"GO:0051445", "regulation of meiotic cell cycle", "1/5", "58/23210", 0.012433390161672, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0045744", "negative regulation of G protein-coupled receptor signaling pathway", "1/5", "60/23210", 0.0128599111078512, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0048512", "circadian behavior", "1/5", "61/23210", 0.0130731163106359, 0.0526802178276195, 0.0175826144225688, "Nr1d2", 1
"GO:0007622", "rhythmic behavior", "1/5", "63/23210", 0.0134994161994695, 0.0526802178276195, 0.0175826144225688, "Nr1d2", 1
"GO:0060999", "positive regulation of dendritic spine development", "1/5", "63/23210", 0.0134994161994695, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0030968", "endoplasmic reticulum unfolded protein response", "1/5", "65/23210", 0.013925568764484, 0.0526802178276195, 0.0175826144225688, "Herpud2", 1
"GO:0048168", "regulation of neuronal synaptic plasticity", "1/5", "67/23210", 0.0143515740438684, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0050885", "neuromuscular process controlling balance", "1/5", "69/23210", 0.0147774320758035, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0060997", "dendritic spine morphogenesis", "1/5", "69/23210", 0.0147774320758035, 0.0526802178276195, 0.0175826144225688, "Camk2b", 1
"GO:0048641", "regulation of skeletal muscle tissue development", "1/5", "70/23210", 0.014990305885908, 0.0526802178276195, 0.0175826144225688, "Nr1d2", 1
"GO:0060191", "regulation of lipase activity", "1/5", "73/23210", 0.0156287065500206, 0.0533980807125703, 0.0178222092237077, "Camk2b", 1
"GO:0051785", "positive regulation of nuclear division", "1/5", "77/23210", 0.0164793924924561, 0.0547828453127595, 0.0182843899631803, "Camk2b", 1
"GO:2000243", "positive regulation of reproductive process", "1/5", "81/23210", 0.017329490208326, 0.0553245256360496, 0.0184651818554209, "Camk2b", 1
"GO:0034620", "cellular response to unfolded protein", "1/5", "82/23210", 0.0175419227626499, 0.0553245256360496, 0.0184651818554209, "Herpud2", 1
"GO:0035914", "skeletal muscle cell differentiation", "1/5", "88/23210", 0.0188157467085782, 0.057858421128878, 0.0193108979377513, "Nr1d2", 1
