"ID", "Description", "GeneRatio", "BgRatio", "pvalue", "p.adjust", "qvalue", "geneID", "Count"
"GO:2000347", "positive regulation of hepatocyte proliferation", "1/2", "10/23210", 0.000861530469365657, 0.0177181781963731, NA, "Ptn", 1
"GO:1900272", "negative regulation of long-term synaptic potentiation", "1/2", "12/23210", 0.00103379200996001, 0.0177181781963731, NA, "Ptn", 1
"GO:1904396", "regulation of neuromuscular junction development", "1/2", "13/23210", 0.00111991721109694, 0.0177181781963731, NA, "Ptn", 1
"GO:0048680", "positive regulation of axon regeneration", "1/2", "14/23210", 0.00120603869946101, 0.0177181781963731, NA, "Ptn", 1
"GO:0071340", "skeletal muscle acetylcholine-gated channel clustering", "1/2", "14/23210", 0.00120603869946101, 0.0177181781963731, NA, "Ptn", 1
"GO:0070572", "positive regulation of neuron projection regeneration", "1/2", "15/23210", 0.00129215647505176, 0.0177181781963731, NA, "Ptn", 1
"GO:2000647", "negative regulation of stem cell proliferation", "1/2", "16/23210", 0.00137827053786932, 0.0177181781963731, NA, "Ptn", 1
"GO:0060253", "negative regulation of glial cell proliferation", "1/2", "17/23210", 0.00146438088791312, 0.0177181781963731, NA, "Ptn", 1
"GO:0045837", "negative regulation of membrane potential", "1/2", "18/23210", 0.00155048752518394, 0.0177181781963731, NA, "Ptn", 1
"GO:1903909", "regulation of receptor clustering", "1/2", "18/23210", 0.00155048752518394, 0.0177181781963731, NA, "Ptn", 1
"GO:2000345", "regulation of hepatocyte proliferation", "1/2", "19/23210", 0.00163659044968167, 0.0177181781963731, NA, "Ptn", 1
"GO:0002523", "leukocyte migration involved in inflammatory response", "1/2", "20/23210", 0.00172268966140621, 0.0177181781963731, NA, "Ptn", 1
"GO:0046697", "decidualization", "1/2", "20/23210", 0.00172268966140621, 0.0177181781963731, NA, "Ptn", 1
"GO:0140058", "neuron projection arborization", "1/2", "21/23210", 0.0018087851603571, 0.0177181781963731, NA, "Ptn", 1
"GO:1901626", "regulation of postsynaptic membrane organization", "1/2", "21/23210", 0.0018087851603571, 0.0177181781963731, NA, "Ptn", 1
"GO:0010996", "response to auditory stimulus", "1/2", "22/23210", 0.00189487694653523, 0.0177181781963731, NA, "Ptn", 1
"GO:1905809", "negative regulation of synapse organization", "1/2", "25/23210", 0.00215313002842943, 0.0177181781963731, NA, "Ptn", 1
"GO:0072574", "hepatocyte proliferation", "1/2", "26/23210", 0.0022392069635141, 0.0177181781963731, NA, "Ptn", 1
"GO:0072575", "epithelial cell proliferation involved in liver morphogenesis", "1/2", "26/23210", 0.0022392069635141, 0.0177181781963731, NA, "Ptn", 1
