"ID", "Description", "GeneRatio", "BgRatio", "pvalue", "p.adjust", "qvalue", "geneID", "Count"
"GO:0052803", "imidazole-containing compound metabolic process", "1/3", "10/23210", 0.00129204514944636, 0.0109790712624086, 0.00173353756774873, "Hnmt", 1
"GO:0042402", "cellular biogenic amine catabolic process", "1/3", "13/23210", 0.00167944155943611, 0.0109790712624086, 0.00173353756774873, "Hnmt", 1
"GO:0009310", "amine catabolic process", "1/3", "14/23210", 0.00180855143033853, 0.0109790712624086, 0.00173353756774873, "Hnmt", 1
"GO:0042135", "neurotransmitter catabolic process", "1/3", "17/23210", 0.00219581425248172, 0.0109790712624086, 0.00173353756774873, "Hnmt", 1
"GO:0006576", "cellular biogenic amine metabolic process", "1/3", "46/23210", 0.00593419217917468, 0.0237367687166987, 0.00374791085000506, "Hnmt", 1
"GO:0030968", "endoplasmic reticulum unfolded protein response", "1/3", "65/23210", 0.00837840431402326, 0.025729706965801, 0.00406258531038964, "Herpud2", 1
"GO:0044106", "cellular amine metabolic process", "1/3", "81/23210", 0.0104335779535658, 0.025729706965801, 0.00406258531038964, "Hnmt", 1
"GO:0034620", "cellular response to unfolded protein", "1/3", "82/23210", 0.0105619319362774, 0.025729706965801, 0.00406258531038964, "Herpud2", 1
"GO:0009308", "amine metabolic process", "1/3", "91/23210", 0.0117166183632472, 0.025729706965801, 0.00406258531038964, "Hnmt", 1
"GO:0035967", "cellular response to topologically incorrect protein", "1/3", "103/23210", 0.013254802340513, 0.025729706965801, 0.00406258531038964, "Herpud2", 1
"GO:0006986", "response to unfolded protein", "1/3", "110/23210", 0.0141513388311906, 0.025729706965801, 0.00406258531038964, "Herpud2", 1
"GO:0035966", "response to topologically incorrect protein", "1/3", "133/23210", 0.0170932777969736, 0.0284887963282893, 0.00449823099920357, "Herpud2", 1
"GO:0042133", "neurotransmitter metabolic process", "1/3", "147/23210", 0.0188811544646807, 0.0290479299456627, 0.00458651525457832, "Hnmt", 1
"GO:0097164", "ammonium ion metabolic process", "1/3", "168/23210", 0.02155890229616, 0.0307984318516571, 0.00486291029236691, "Hnmt", 1
"GO:0034976", "response to endoplasmic reticulum stress", "1/3", "237/23210", 0.0303229048227247, 0.0404305397636329, 0.0063837694363631, "Herpud2", 1
"GO:0032259", "methylation", "1/3", "338/23210", 0.0430567661393129, 0.0538209576741411, 0.00849804594854859, "Hnmt", 1
"GO:0001505", "regulation of neurotransmitter levels", "1/3", "372/23210", 0.0473181966687661, 0.0556684666691366, 0.00878975789512684, "Hnmt", 1
"GO:0044270", "cellular nitrogen compound catabolic process", "1/3", "463/23210", 0.0586615055057381, 0.0611424103921604, 0.00965406479876217, "Hnmt", 1
"GO:0046700", "heterocycle catabolic process", "1/3", "469/23210", 0.0594062352937497, 0.0611424103921604, 0.00965406479876217, "Hnmt", 1
"GO:0019439", "aromatic compound catabolic process", "1/3", "483/23210", 0.0611424103921604, 0.0611424103921604, 0.00965406479876217, "Hnmt", 1
